cod_tipveh;tipo_vehiculo
664;CAMION CAB.DORM. C/VOLC Y GRUA
665;CAMION C.Y MEDIA C/ESP.CEMENTO
666;CAMION C.SIMP C/EQ ROLL ON/OFF
667;CAMION C.DORM.C/BOMBA HORMIGON
668;CAMION CAB.Y MEDIA C/VOLCADORA
669;CAMION C.SIMP C/BOMBA HORMIGON
670;CAMION C.DORM.JAULA DE GANADO
671;CAMION C.DORM.C/PIRAMIDE
679;CAMION CAB.SIMP.JAULA GARRAFA
680;CAMION C.DORM.JAULA DE GARRAFA
681;CAMION CAB.SIMPLE.C/CHATA
682;CAMION CAB Y MEDIA C/ GRUA
683;SEMIRREMOLQUE REFRIGERADO
684;CAMION CAB.DORM.DESOBSTRUCTOR
685;CAMION CAB.DORM. C/CAJA Y GRUA
686;CAMION CAB.DOB.BOMBERO
687;CAMION CAB.SIMP. C/CAJA Y GRUA
688;CAMION CAB.SIMP.TRACTOR C/GRUA
689;CAMION CAB.SIMP.C/VOLC. Y GRUA
691;CAMION C.DOB.C/CAJA C/PIRAMIDE
692;CAMION CABINA DORM. C/CHATA
693;CAMION C.Y MEDIA C/BAROMETRICA
694;CAMION C.DORM.ESPARC. CEMENTO
696;CAMION C.DOR.BOX TER RAMP.HIDR
697;CAMION C.Y MEDIA.RECOL.BASURA
698;SEMIRREMOLQUE FURGON
699;CAMION C.Y MEDIA C/CAJA Y GRUA
700;REMOLQUE C/EQUIPO ROLL ON/OFF
701;REMOLQUE PORTA MAQUINARIA
702;CAMION CAB. Y MEDIA C/SIDER
9997;TV INVALIDO
9998;TV INVALIDO
9999;SIN INFORMACIÓN
