dsc_avenida;dsc_int_anterior;dsc_int_siguiente;latitud;longitud
Uruguayana;Capurro;Bv Artigas;-34.872699;-56.205994
18 de Julio;Andes;Convencion;-34.906393;-56.197508
8 de Octubre;Cibils;Mariano Moreno;-34.884180;-56.155480
8 de Octubre;Gral Villagran;Raissignier;-34.869880;-56.134890
Aramburu;Terra;Gral Flores;-34.882790;-56.181890
Arenal Grande;Mercedes;Colonia;-34.899763;-56.174753
Av Italia;Bolivia;Ancona;-34.882333;-56.081649
Benito Blanco;Buxareo;Julio Cesar;-34.906759;-56.140034
Burgues;San Martin;Bv Artigas;-34.871627;-56.185855
Bv Artigas;Accesos;Uruguayana;-34.873224;-56.205881
Bv Artigas;Canelones;Bv Espana;-34.910816;-56.163367
Bv Artigas;Colorado;Caraguata;-34.877335;-56.166706
Bv Artigas;Nueva Palmira;Garibaldi;-34.884889;-56.166067
C M Ramirez;Puerto Rico;Grecia;-34.874317;-56.252240
Cerro Largo;Magallanes;Ejido;-34.900766;-56.186738
Colonia;Arenal Grande;Fernandez Crespo;-34.900375;-56.175142
Comercio;Joanico;8 de Octubre;-34.875750;-56.143440
Garzon;Ariel;Bv Batlle y Ordonez;-34.828295;-56.220047
Garzon;San Quintin N;Emancipacion;-34.850334;-56.223620
Gral Flores;Aramburu;Blandengues;-34.883180;-56.182980
Gral Flores;Blandengues;Aramburu;-34.882920;-56.182840
Larravide;Isla de Gaspar;8 de Octubre;-34.874480;-56.138380
Rambla;Bv Batlle y Ordonez;Solano Lopez;-34.898872;-56.121019
Rivera;Bv Artigas;Acevedo Diaz;-34.902088;-56.164534
20 de Febrero;Cno Carrasco;8 de Octubre;-34.867070;-56.134340
8 de Octubre;Serrato;Cipriano Miro;-34.874910;-56.140170
Av Brasil;26 de Marzo;Benito Blanco;-34.913389;-56.150044
Bv Artigas;Bv Espana;Canelones;-34.907443;-56.163561
Bv Artigas;Colorado;Caribes;-34.880982;-56.166511
Bv Artigas;Millan;Burgues;-34.871279;-56.187329
Bv Batlle y Ordonez;Pereyra;Rivera;-34.898010;-56.124030
C M Ramirez;Llupes;M Herrera y Obes;-34.857615;-56.225499
Corrales;Guillermo Laborde;Gral Flores;-34.846179;-56.156252
Francisco Urdaneta;Uruguayana;Agraciada;-34.875762;-56.199447
Garzon;Casavalle;Saravia;-34.814485;-56.220677
Garzon;Saravia;Casavalle;-34.813389;-56.220474
Gral Flores;Quesada;L A de Herrera;-34.866070;-56.171180
Miguelete;Magallanes;Fernandez Crespo;-34.896064;-56.182073
Paraguay;Canelones;Soriano;-34.908372;-56.192213
Uruguay;Vazquez;Ejido;-34.902768;-56.186559
21 de Setiembre;Bv Espana;Bv Artigas;-34.912363;-56.164099
26 de Marzo;L A de Herrera;Bonavita;-34.905612;-56.135593
Agraciada;Av de Las Leyes;Marcelino Sosa;-34.889938;-56.187259
Av Italia;L A de Herrera;Las Heras;-34.889656;-56.149612
Burgues;L A de Herrera;Bv Artigas;-34.870429;-56.185998
Bv Artigas;Gallinal;L A de Herrera;-34.870406;-56.167448
Bv Artigas;Palmar;Canaro;-34.899594;-56.164421
Bv Artigas;Palmar;Rivera;-34.900440;-56.164380
Bv Batlle y Ordonez;Rousseau;Monte Caseros;-34.876518;-56.151419
Capurro;Uruguayana;Agraciada;-34.868470;-56.206937
Ejido;Canelones;Soriano;-34.907976;-56.186627
Garibaldi;Amezaga;Bv Artigas;-34.884370;-56.166584
Grito de Asencio;Suarez;Agraciada;-34.875242;-56.198863
Larranaga;Joanico;Gloria;-34.878080;-56.152121
M Herrera y Obes;Angel Salvo;C M Ramirez;-34.858336;-56.225519
Marcelino Sosa;Yatay;Agraciada;-34.889123;-56.187513
Ponce;Ricaldoni;Rivera;-34.902150;-56.160830
Rambla;Montero;Bv Espana;-34.916417;-56.148942
Rivera;Acceso Cementerio;Tezanos;-34.899740;-56.130830
San Jose;Aquiles Lanza;Ejido;-34.906626;-56.187543
Solano Garcia;Bv Artigas;Ellauri;-34.922876;-56.159058
Solano Lopez;Rivera;Av Italia;-34.887512;-56.129107
Zufriategui;Coraceros;Agraciada;-34.862684;-56.212248
18 de Julio;Arenal Grande;Fernandez Crespo;-34.901274;-56.174566
